step,location,node,text
1,continue,completed,COMPLETED TO HERE
2,start,abandoned,
3,start,abandoned_end,END OF ABANDONED
4,start,story,START THE GAME
5,Colter,story_end,
6,Colter,chapter-1,Chapter 1
7,Colter,chapter-1_end,
8,Colter,outlaws-from-the-west,Outlaws from the West
9,Colter,outlaws-from-the-west_0,Rescue Sadie from the O'Driscolls
10,Colter,outlaws-from-the-west_1,Spare the O'Driscoll
11,Colter,outlaws-from-the-west_end,
12,Colter,outlaws-from-the-west_post_0,Offer Sadie the horse
13,Colter,enter-pursued-by-a-memory,"Enter, Persued by a Memory"
14,Colter,enter-pursued-by-a-memory_0,Go with Javier to rescue John
15,Colter,enter-pursued-by-a-memory_end,
16,Colter,old-friends,"Check on Bill at camp, go to the gang hideout"
17,Colter,old-friends_0,See Colm scolding Kieran
18,Colter,old-friends_1,Listen to the previously spared O'Driscoll's comments
19,Colter,old-friends_2,Kill the O'Driscolls
20,Colter,old-friends_end,
21,Colter,old-friends_post_0,Find Kieran tied in the barn and talk to him
22,Colter,the-aftermath-of-genesis,"Speak to Pearson, go hunting with Charles"
23,Colter,the-aftermath-of-genesis_end,
24,Colter,who-the-hell-is-leviticus-cornwall,"Check on John in camp, go to rob a train with Dutch"
25,Colter,who-the-hell-is-leviticus-cornwall_0,Be sure to loot the two letters
26,Granite Pass,who-the-hell-is-leviticus-cornwall_end,
27,Colter,who-the-hell-is-leviticus-cornwall_post_0,Read the two letters looted from the train
28,Colter,eastward-bound,"Returning to camp, speak to Dutch"
29,Horseshoe Overlook,eastward-bound_0,Ride to the new camp with Hosea
30,Horseshoe Overlook,eastward-bound_1,Talk to Lenny before he disappears
31,Horseshoe Overlook,eastward-bound_2,Insult Micah before he disappears
32,Horseshoe Overlook,eastward-bound_3,Read about moving camps in Journal
33,Horseshoe Overlook,eastward-bound_end,
34,Horseshoe Overlook,chapter-2,Chapter 2
35,Horseshoe Overlook,chapter-2_end,
